"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
33737331,2,1961,1990,12.1,6.8,17.5,40.2
33737331,3,1961,1990,13.8,8.3,19.3,38.6
33737331,4,1961,1990,16.1,10.7,21.5,30.7
33737331,5,1961,1990,19.8,14.1,25.6,20.7
33737331,6,1961,1990,23.7,17.9,29.6,11.4
33737331,7,1961,1990,26.8,20.4,33.3,3.6
33737331,8,1961,1990,27.1,21,33.3,11.3
33737331,9,1961,1990,24.7,19.2,30.3,30.9
33737331,10,1961,1990,20.4,15.2,25.6,59
33737331,11,1961,1990,15.8,10.4,21.2,51.2
33737331,12,1961,1990,12.3,7.2,17.5,40.8
33737721,1,1961,1990,12.2,7.4,17,39.9
33737721,2,1961,1990,12.2,7.5,17.1,37.4
33737721,3,1961,1990,13.9,8.9,18.9,35.7
33737721,4,1961,1990,15.3,10.1,20.4,28.9
33737721,5,1961,1990,18.9,13.7,24.2,20.4
33737721,6,1961,1990,22.5,17.5,27.4,9
33737721,7,1961,1990,24.9,19.6,30.2,1.2
33737721,8,1961,1990,26.7,21.4,31.9,14.7
33737721,9,1961,1990,24.8,19.9,29.9,25.1
33737721,10,1961,1990,21.4,16.5,26.4,51.7
33737721,11,1961,1990,16.9,11.8,22,53.2
33737721,12,1961,1990,13.4,8.4,18.4,56.9
34040111,1,1961,1990,12,7.5,16.4,36
34040111,2,1961,1990,12.8,8.3,17.3,31.6
34040111,3,1961,1990,14.1,9.8,18.5,34
34040111,4,1961,1990,16.2,11.9,20.6,25.3
34040111,5,1961,1990,19.6,15.1,24.1,12.7
34040111,6,1961,1990,23.4,18.8,28,5.9
34040111,7,1961,1990,26.4,21.2,31.5,1
34040111,8,1961,1990,27.1,22.2,32,7.2
34040111,9,1961,1990,24.9,20.6,29.2,34.7
34040111,10,1961,1990,21,16.8,25.2,63.2
34040111,11,1961,1990,16.3,11.9,20.8,35.1
34040111,12,1961,1990,13,8.6,17.3,59.2
34242111,1,1952,2005,12.4,8.1,16.6,33.8
34242111,2,1952,2005,12.6,8.4,16.9,30.4
34242111,3,1952,2004,14.3,10.2,18.4,21.3
34242111,4,1951,2004,16.3,12.3,20.2,18.4
34242111,5,1951,2004,19.2,15.1,23.4,13.3
34242111,6,1951,2004,22.7,18.7,26.7,3.7
34242111,7,1952,2004,25.7,21.4,30,0.3
34242111,8,1951,2004,26.6,22.5,30.8,4.4
34242111,9,1951,2004,24.7,20.7,28.8,55.8
34242111,10,1951,2004,21.4,17.4,25.4,59.4
34242111,11,1951,2004,17,12.6,21.3,42.9
34242111,12,1951,2004,13.5,9.3,17.8,44.9
34242131,1,1961,1990,12.5,8.7,16.2,31.9
34242131,2,1961,1990,12.6,8.6,16.7,34.5
34242131,3,1961,1990,14.5,10.7,18.3,27.2
34242131,4,1961,1990,16,12.7,19.2,23.3
34242131,5,1961,1990,19.2,15.7,22.8,10.4
34242131,6,1961,1990,22.6,20,25.3,6.5
34242131,7,1961,1990,25.3,22.3,28.3,1
34242131,8,1961,1990,27,23.9,30.1,5.4
34242131,9,1961,1990,26,23.3,28.8,37.7
34242131,10,1961,1990,23.1,20.1,26.1,74.4
34242131,11,1961,1990,18,14.4,21.7,33.4
34242131,12,1961,1990,13.4,9.4,17.5,61.3
44848111,1,1961,1990,10.2,4.8,15.5,20.1
44848111,2,1961,1990,11.5,5.7,17.3,17.5
44848111,3,1961,1990,13.4,7.4,19.4,32
44848111,4,1961,1990,16.3,9.7,22.8,20.7
44848111,5,1961,1990,20.3,13.2,27.4,21.7
44848111,6,1961,1990,24.9,17,32.8,10.7
44848111,7,1961,1990,27.8,19.3,36.2,10
44848111,8,1961,1990,27.8,20.1,35.5,10.7
44848111,9,1961,1990,24.4,17.6,31.1,43.7
44848111,10,1961,1990,19.9,14,25.7,42.1
44848111,11,1961,1990,14.6,9.1,19.9,17.4
44848111,12,1961,1990,11.2,5.7,16.7,26.8
44849232,1,1961,1990,10.3,4.9,16.1,25.7
44849232,2,1961,1990,12,5.9,18.2,15.7
44849232,3,1961,1990,14.2,7.8,20.5,26.2
44849232,4,1961,1990,16.9,10.4,23.7,13.5
44849232,5,1961,1990,20.9,13.8,28.2,14
44849232,6,1961,1990,25.2,17.6,33,5.8
44849232,7,1961,1990,28.2,20,36.4,3.1
44849232,8,1961,1990,28.4,20.7,36.1,7.8
44849232,9,1961,1990,25.1,18.6,31.6,28
44849232,10,1961,1990,20.4,14.6,26.1,39
44849232,11,1961,1990,15,9.1,21.1,14.7
44849232,12,1961,1990,11.5,5.9,17.3,20.6
45050111,1,1961,1990,11.3,5.8,16.7,23
45050111,2,1961,1990,12.2,6.5,18,19.4
45050111,3,1961,1990,14,8.4,19.5,23.3
45050111,4,1961,1990,16.4,11,21.8,17.6
45050111,5,1961,1990,19.8,14.4,25.4,9.2
45050111,6,1961,1990,23.4,17.8,28.9,3.9
45050111,7,1961,1990,26,19.9,32,1.1
45050111,8,1961,1990,26.7,21.1,32.2,4.7
45050111,9,1961,1990,24.8,19.8,29.8,24.8
45050111,10,1961,1990,21,16.1,26,56.9
45050111,11,1961,1990,15.9,10.6,21.4,21.3
45050111,12,1961,1990,12.2,6.7,17.6,28.9
45051221,1,1961,1990,11.1,5.2,17,25.8
45051221,2,1961,1990,12.3,6.1,18.7,15.5
45051221,3,1961,1990,14.6,8.4,20.8,20.9
45051221,4,1961,1990,17.2,11.1,23.2,14.1
45051221,5,1961,1990,20.5,14.2,26.9,9.9
45051221,6,1961,1990,25,18.2,31.7,3.7
45051221,7,1961,1990,27.1,20.1,34.3,0.8
45051221,8,1961,1990,27.8,21,34.5,4.3
45051221,9,1961,1990,25.7,19.8,31.5,27
45051221,10,1961,1990,21.2,15.5,26.9,47.2
45051221,11,1961,1990,16.1,10.3,22,16.7
45051221,12,1961,1990,12.4,6.6,18.3,29.9
46565111,1,1961,1990,12,7.5,16.5,24.3
